performance_id,review_id,rating,user_id,date,view_count,like_count,title,text
23001653#,0,5,shg2***예매자,2023.06.19,조회 37,"공감 0
공감하기",스케일 커서 좋았어요,관람 잘했습니다
23001653#,1,5,aodthdus3***예매자,2023.06.16,조회 33,"공감 0
공감하기",후기,지금도 한번씩 유튜브로 노래 들을정도로 여운이 장난 아닙니다.
23001653#,2,5,gpfhddl***예매자,2023.06.11,조회 28,"공감 0
공감하기",웅장함,"출연진 모두에게 압도당하는 느낌
도마를 향한 어머니의 사랑"
23001653#,3,5,shg2***예매자,2023.06.10,조회 22,"공감 0
공감하기",웅장함이 최고,스케일이 커서 좋았어요
23001653#,4,5,dlqha0***예매자,2023.06.09,조회 27,"공감 1
공감하기",양준모님 최고,"양준모 배우는 진짜 최고에요
앞으로 영웅은 무조건 양중근으로 볼거에요ㅠㅠㅠㅠ제발 오래오래 해주세요??"
23001653#,5,4,jneps***예매자,2023.06.09,조회 39,"공감 0
공감하기",음향빼곤 다 좋았다,"뮤지컬 한번도 안 봐본 지인들 데려가느라 걱정하면서 갔다. 나도 처음봤는데 넘버들도 너무 좋고, 연기력이나 연출도 너무 좋았다. 지인들도 대만족하면서 하루종일 후기를 떠들어댔다. 다만 아쉬운건...블퀘의...음향........ㅠㅠㅠㅠㅠㅠㅠㅠㅠ 영웅은 자주 오는 편이니 담에 음향 좋은 곳에서 공연하면 또 보고싶다."
23001653#,6,5,seohee220***예매자,2023.06.06,조회 21,"공감 0
공감하기",진짜 가슴이 벅차오르는 뮤지컬..,계속 생각나서 MD 다 쓸어모으고 있어요ㅠㅠ 다음에 다시 하면 또 보러갈거예요
23001653#,7,5,thrks***예매자,2023.06.06,조회 22,"공감 0
공감하기",민중근 임규형♡,"팬텀싱어4 보고 팬이되었습니다!
임규형배우님 응원합니다♡

민중근! 민우혁님 최고!"
23001653#,8,5,pretttes***예매자,2023.06.02,조회 28,"공감 0
공감하기",한국인이라면 꼭 봐야할 뮤지컬!,"역시 정성화!
애국심이 뜨겁게 차오르는 뮤지컬."
23001653#,9,5,apple00***예매자,2023.05.31,조회 21,"공감 0
공감하기",너무 재밌었어요,한국인인게 자랑스러워지는 순간이었어요
23001653#,10,5,ymca0***예매자,2023.05.30,조회 18,"공감 0
공감하기",잊지못해요,너무 감동스럽고 재밌게 봤어요
23001653#,11,3,all4hi***예매자,2023.05.30,조회 41,"공감 0
공감하기",양중근 못본사람 있으면 안됨,내용은 흐린눈으로 넘기고 그 안에서 살아움직이는 양중근이 있다.
23001653#,12,5,sinhc0***예매자,2023.05.30,조회 28,"공감 0
공감하기",인생의 후회없는 선택,내년에 또 보고싶은 뮤지컬
23001653#,13,5,mozzi***예매자,2023.05.30,조회 33,"공감 0
공감하기",벌써 몇번 째 인지 모르는 영웅,"내용도 내용이지만 무대장치와 연출이 정말 눈 뗄 순간이 없었습니다. 독립군과 일본군의 그 긴박한 순간들을 표현한 비상구는 없다, 추격 등의 넘버를 완벽히 표현해준 앙상블 배우님들에게도 큰 박수를 보내고 싶다."
23001653#,14,5,kwak***예매자,2023.05.29,조회 26,"공감 0
공감하기",밍중근 정말 완벽했어요.,"아이들과 함께 관람했어요
이번이 3번째 관극인데 막공이라 무인까지 듣고
너무좋아요."
23001653#,15,5,sodami1***예매자,2023.05.29,조회 32,"공감 0
공감하기",역시 안중근은 정성화배우님입니다.,"초6 아이가 좋아해서
민우혁 배우님 캐스팅으로 봤는데
정성화 배우님 캐스팅으로 꼭 보고 싶다고 해서
봤습니다.
역시 안중근은 역시 정성화배우님이세요.
그리고 설희역에 린지배우님
동화역에 김도현배우님도
최고세요."
23001653#,16,5,aquama***예매자,2023.05.29,조회 13,"공감 0
공감하기",재밌게 봤어요,재밌어요
23001653#,17,5,aquama***예매자,2023.05.29,조회 24,"공감 0
공감하기",막공날,평소보다 더 좋았던 공연
23001653#,18,5,ami***예매자,2023.05.29,조회 22,"공감 0
공감하기",정성화님 레전드!!!,"이제 생김새도 안중근 의사를 닮아가는 정성화님,
장부가 부르실 때 벅차고 감격스러웠던거 못잊을거예요. 영웅 할 때마다 꼭 볼 것을 다짐합니다~"
23001653#,19,5,thtlwl***예매자,2023.05.29,조회 15,"공감 0
공감하기",짱짱,막공에 자첫한게 너무 아쉬워요
23001653#,20,5,thtlwl***예매자,2023.05.29,조회 13,"공감 0
공감하기",영웅 짱,애국심 활활
23001653#,21,5,nasyk***예매자,2023.05.29,조회 16,"공감 0
공감하기",매우 즐거운 관극이었습니다 :),매우 즐거운 관극이었습니다 :)
23001653#,22,5,mjseon***예매자,2023.05.29,조회 15,"공감 0
공감하기",좋았어요,좋았어요
23001653#,23,5,mjseon***예매자,2023.05.29,조회 10,"공감 0
공감하기",좋았어요,좋았어요
23001653#,24,5,mjseon***예매자,2023.05.29,조회 10,"공감 0
공감하기",좋았어요,좋났습니다.
