performance_id,review_id,rating,user_id,date,view_count,like_count,title,text
19018229#,0,5,smilecha***예매자,2021.04.21,조회 16622,"공감 169
공감하기",베스트내가 셜록홈즈가 된 느낌ㅎㅎㅎ,"연극동아리에서 함께 보러간 연극이었는데, 생각보다 너무 재미있고 몰입도도 최상이었습니다!! 정말 내가 셜록이 된 듯한 느낌으로.. 모든 순간을 하나하나 머리속에 저장해두었다 이후에 적극적으로 극에 참여했습니다!
배우분들 연기도 일품이었고, 몇번이고 다시 또 봐도 질리지 않을것 같은 연극이었습니다. 코로나 시대에 정말 제대로 기분전환 했네요ㅎㅎ 즐거운 경험이었습니다!"
19018229#,1,5,soymuybu***,2021.04.16,조회 14981,"공감 171
공감하기",베스트베테랑은 역시 달라도 뭐가 다르네요.,"실제 미용실을 그대로 옮겨 놓은 듯한 내부에 한 번 놀라고, 손님역을 맡은 남자 배우의 머리를 진짜 감기는 장면에 또 한 번 놀라고, 이보다 더 흥이 폭발할 수 있나 싶을 정도로, 열혈 연기, 미친 애드립을 보여준 모든 배우분들의 개성 넘치는 카리스마에 매번 놀라 입이 다물어지지 않을 정도로, 기분이 내내 업되었던 그 순간이 너무도 좋아 제발 일찍 끝나지 않았으면 하는 마음이 절로 나게 하는 그런 신나는 볼거리 가득한 기분 좋은 공연 덕분에 찐팬심 마음으로 환호성과 뜨거운 박수를 보내느라 팔이 다 아프고, 목이 다 아플 정도였다. 그 만큼 재밌었다.~~~~

방역 수칙도 잘 지켜졌고, 코로나19로 잠시 움츠려있던 관객들도 그 맘 다 아는지 다시 활기를 띠는 모양새처럼 보였다. 우울모드에서 잠시 해방된 가슴 탁 트인 화끈하면서도 기분 좋은 멋진 공연에 엄치척을 올려 본다.

1부에서 2부로 넘어갈 때, 관객과 하나가 되어, 소통하는 재미난 공연에 한 번 웃을 걸, 두 번 세 번 미치게 웃게 만들고, 예기치 못한 살인 사건으로 함께 풀어 보는 코믹 추리 수사극에, 극적 반전, 보는 재미, 색다른 장르(?)에 모든 관객이 함께 즐기며 마치 하나가 된 듯, 그 상황을 서로가 마음이 끌리는 대로, 본능에 충실해 하며 어색함 전혀 없는 흥겨움에, 너무도 보기 좋았다.

처음이 아닌 공연 관람임에도 불구하고, 시간 날 때마다 보러 가고 싶을 만큼 유쾌하고 재미난 그런 공연이어서 아직 못 본 분들을 위해 강추하고 싶을 만큼 유쾌한 공연임을 전해 드리고 싶다...

당첨 기회가 온다면, 책도 함께 읽어 보고 싶다. 진정한 소확행이란 바로 이런 것이 아닌가 싶다."
19018229#,2,5,heejim199***예매자,2019.08.25,조회 15153,"공감 181
공감하기",베스트우와~~~!! 최고의 연극!!,"배우분들의 연기력과 드립력!!! 정말 끝내줍니다. 친구에게로 부터 추천받은 연극!!!
자리는 1층 B30에서 봤고 공연장이 협소해서 아무데나 앉아도 좋을것 같지만 앞에서 3-4번째줄에 보시면 가장 좋을 것 같네요. 너무 웃긴 드립력에 정말 많이 웃었고, 범인 마다의 스토리가 어떻게 전개되는지 너무 궁금하네요.
특히 관람객 참여형 연극을 처음 보는데 보러가기 전부터 어떤 연극일지 기대가 컸는데 대만족이였습니다.
또, 상당한 추리력을 가지신 관람객 분들이 많으셔서 재밌었어요~~~
쉬어 매드니스 화이팅!!"
19018229#,3,5,yjhj1***예매자,2019.07.08,조회 8351,"공감 182
공감하기",베스트너무 재미있게 잘 봤어요!,"엄마가 연극 보고 싶다고 하셔서 알아 보던 중 평이 좋아 보게 되었는데 너무 재미있더라고요!
배우분들이 관객하고 소통도 아주 유쾌하게 잘 해 주시고~~ 정말 만족스러운 공연이었어요!"
19018229#,4,5,joker4bat***예매자,2019.06.03,조회 11304,"공감 176
공감하기",베스트언제나 새로운 결말,이번에 2번째 본건데 배우분들 너무 재밌게 연기 잘하시고 결말도 달라서 참 좋은거같습니다!! 같이보러간 찬구도 대만족 ㅋㅋ 나중에 또갈거같아요!
19018229#,5,5,donggi***예매자,2019.05.12,조회 7107,"공감 171
공감하기",베스트첫 연극관람 대만족!!,"연극 처음 봤는데 정말 재미있게 잘봤어요~
배우분들 연기도 잘하시고 몰입도도 있었어요
한상욱, 윤성경배우 캐릭터 위트있게 잘 표현하셔서 반했네요ㅋㅋㅋ
관객들이랑 소통하면서 진행하는 것도 특이했는데 약간 흐름이 끊기는 느낌도 들긴 했지만 놓친부분을 확인 할 수있어서 좋았네여
진짜 재밌게 잘봤고 다른 스토리로 진행하는 것도 꼭 보고싶어지는 연극이네요~"
19018229#,6,5,fishsoup***예매자,2018.12.25,조회 10866,"공감 172
공감하기",베스트관객과 소통하는 연극,"관람객 참여를 유도시키면서 극을 이끌어나가는 방식으로 신선한 경허이었어요!
중간 쉬는시간에는 장난도치면서 즐거웠네요ㅎㅎㅎ
다음에도 또 보러갈거에요.!"
19018229#,7,5,dhziwlrjf***예매자,2018.11.30,조회 6459,"공감 171
공감하기",베스트정말 정말 재밌어요!!,"수능 끝나고 친구랑 연극보고싶어 이것저것 찾아보다 리뷰가 너무 좋아서 봤는데 정말 기대이상이였어요!
정말 너무 재밌고 관객이 목격자가 되어 참여할수있다는게 대답하고,질문하고 참여하며 즐길 수 있어서 너무
재밌었고 배우님들도 다 매력가득하셔서 정말 다시 또 보러가고싶단 생각이 가득했어요!
그래서 다음달에도 한번 더 보러갈 생각이고 정말 안 본 사람은 있어도 한번만 본 사람은 없다라는 말이 적절한 연극인 것
같아요! 특히 매번 결말이 다르다는 점이 정말 매력인것같고 정말 추천합니다!!! 진짜 너무 재밌었어요!!"
19018229#,8,5,wink6***,2018.10.25,조회 16180,"공감 172
공감하기",베스트추리극과 코미디의 만남. 매회 달라지는 결말.,"쉬어매드니스는 대학로의 다른 작품들이랑 다르더군요.
1. 다른 곳에서 볼 수 없었던 워밍업 공연
2. 관객이 직접 만들어가는 그 날의 공연
3. 그래서 매 회 달라질 수 밖에 없는 결말


공연 시작 전부터 공연을 하고 있어서,
정말 실제로 미용실을 들여다보고 있는 듯한 느낌을 받았어요&#8203;

그리고 흔히 공연을 관객과 배우들이 함께 만든다고들 하는데,
이 작품은 정말 공연을 관객들이 만들어요 ㅎㅎㅎ
관객이 아무런 말도 안하고 있으면 극 진행이 어렵습니다 ㅎㅎㅎㅎ

그리고 결말이 매회 달라질 수 있게끔
적절한 복선을 여기저기 깔아둔 것도 좋았어요.
그래서, 다른 결말로 도출되었을 때,
어떤 떡밥들이 회수될지도 궁금했습니다 ㅎㅎㅎㅎㅎ
&#8203;
다음에는 추리를 제대로 하고 싶은 마음에,
재 관람하고 싶다는 생각을 하게 만든 작품입니다 ㅎㅎㅎㅎㅎㅎ

아 그리고 사족이지만 공연장의 색감도 신경쓰신듯 예쁘더라구요 ㅎㅎㅎㅎ
여러모로 여성 관객들의 취향저격인듯! ㅎㅎ"
19018229#,9,5,autumn7***예매자,2018.09.03,조회 7369,"공감 168
공감하기","베스트역시 쉬어매드니스!! 넘 재미있어요
라이브 후기","너무 재미있는 연극이에요!
역시 한번도 안본사람은 있어도
한번만 본 사람은 없다는 말이 생길정도로
자꾸 빠져드는 연극인거 같아요
열린 결말과 관객과의 소통
다른 연극과는 차별화된 쉬어매드니스만의
연극이 넘 좋았어요
처음 연극을 쉬어매드니스로 시작해서
그런지 자꾸만 다른 결말을 보고싶어서
자꾸 보게되네요! 배우님들도
너무 연기를 잘하셔서 ㅎㅎㅎ 6차 막공
얼마 안남았는데 그때 까지 화이팅 하세요^^♡"
